ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDPCPO23N000005061,장소,공원,16491910,약수공원,,,50705,지역근린공원,4812514000100250012,경상남도,창원시 마산합포구,자산동,,25-12,4812514000,4812558000,,,,128.5617418,35.20521079,라라966905,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005062,장소,공원,16491911,약수공원,,,50705,지역근린공원,4775025029107820000,경상북도,청송군,청송읍,부곡리,782,4775025029,4775025000,,,,129.0816802,36.44042897,마바417281,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005063,장소,공원,16491912,약수어린이공원,,,50706,어린이놀이터,1114016200108420001,서울특별시,중구,신당동,,842-1,1114016200,1114064500,,,,127.0138981,37.55573738,다사570508,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005064,장소,공원,16491914,양명어린이공원,,,50706,어린이놀이터,1147010100110500003,서울특별시,양천구,신정동,,1050-3,1147010100,1147062000,114704142376,중앙로36길,6,126.8544782,37.51924964,다사429468,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005065,장소,공원,16491924,양지2소공원,,,50705,지역근린공원,4117110100109480001,경기도,안양시 만안구,안양동,,948-1,4117110100,4117153000,,,,126.9144853,37.39741619,다사481333,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005066,장소,공원,16491925,양지공원,,,50705,지역근린공원,4511114000105760004,전라북도,전주시 완산구,효자동1가,,576-4,4511114000,4511171200,451113266043,송정로,15,127.1182443,35.80251641,다마655562,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005067,장소,공원,16491927,양지말공원,,,50705,지역근린공원,4148011300117120000,경기도,파주시,동패동,,1712,4148011300,4148059000,,,,126.7219222,37.71921316,다사314691,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005068,장소,공원,16491928,양지체육공원,,,50705,지역근린공원,4146136021200320011,경기도,용인시 처인구,양지면,양지리,산32-11,4146136021,4146136000,,,,127.287526,37.23542909,다사811151,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005069,장소,공원,16491930,양평어린이공원,,,50705,지역근린공원,1156012800103010007,서울특별시,영등포구,양평동4가,,301-7,1156012800,1156062000,,,,126.8980808,37.53811674,다사468489,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005070,장소,공원,16491931,어린왕자소공원,,,50705,지역근린공원,4728011000108700000,경상북도,문경시,모전동,,870,4728011000,4728061000,472804736201,매봉4길,25,128.1848799,36.58818011,라바612435,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
